id,hd,hr,gl,bf,proper,ra,dec,dist,mag,spect,bayer,flam,lum,con,hip
49700,88284.0,3994.0,,41Lam Hya,,10.176467,-12.354083,34.5066,3.61,K0III,Lam,41.0,37.32501577957206,Hya,49841.0
48219,85444.0,3903.0,,39Ups1Hya,Zhang,9.85797,-14.846603,80.9061,4.11,G6/G8III,Ups-1,39.0,129.4195841449985,Hya,48356.0
46259,81797.0,3748.0,,30Alp Hya,Alphard,9.45979,-8.658603,55.2792,1.99,K3III,Alp,30.0,425.7944535825967,Hya,46390.0
46376,81997.0,3759.0,Gl 348A,31Tau1Hya,,9.485805,-2.768964,17.334,4.59,F6V,Tau-1,31.0,3.815926491189337,Hya,46509.0
46643,82446.0,3787.0,,32Tau2Hya,,9.533036,-1.184664,158.7302,4.54,A3V,Tau-2,32.0,335.11973196770776,Hya,46776.0
45204,79469.0,3665.0,,22The Hya,,9.239405,2.31428,34.7947,3.89,B9.5V,The,22.0,29.32243282303116,Hya,45336.0
43689,76294.0,3547.0,,16Zet Hya,,8.92323,5.945563,51.2558,3.11,G8III-IV,Zet,16.0,130.49684141302234,Hya,43813.0
43113,75137.0,3492.0,,13Rho Hya,,8.807214,5.837812,108.5776,4.35,A0Vn,Rho,13.0,186.89599716514903,Hya,43234.0
42990,74874.0,3482.0,,11Eps Hya,Ashlesha,8.779587,6.418809,39.6354,3.38,G0III-IV,Eps,11.0,60.81350012787179,Hya,43109.0
42195,73262.0,3410.0,,4Del Hya,,8.627602,5.703782,49.1642,4.14,A1Vnn,Del,4.0,46.47292416762036,Hya,42313.0
42283,73471.0,3418.0,,5Sig Hya,Minchir,8.645955,3.341435,114.2857,4.45,K2III,Sig,5.0,188.7991349096293,Hya,42402.0
42680,74280.0,3454.0,,7Eta Hya,,8.72041,3.398662,179.8561,4.3,B3V...,Eta,7.0,537.0317963702527,Hya,42799.0
42396,74006.0,3438.0,,Bet Pyx,,8.668373,-35.308352,127.551,3.97,G5II/III,Bet,,365.76319300945227,Pyx,42515.0
42709,74575.0,3468.0,,Alp Pyx,,8.726539,-33.186385,269.5418,3.68,B1.5III,Alp,,2134.027442848977,Pyx,42828.0
43286,75691.0,3518.0,,Gam Pyx,,8.842204,-27.709844,63.5728,4.02,K3III,Gam,,86.77607449911467,Pyx,43409.0
47772,84441.0,3873.0,,17Eps Leo,Ras Elased Australis,9.764188,23.774255,75.643,2.97,G0II,Eps,17.0,323.2957533680941,Leo,47908.0
48318,85503.0,3905.0,,24Mu  Leo,Rasalas,9.879398,26.006951,38.0518,3.88,K0III,Mu,24.0,35.383435681472214,Leo,48455.0
50193,89025.0,4031.0,,36Zet Leo,Adhafera,10.278171,23.417311,84.0336,3.43,F0III,Zet,36.0,261.09586865859336,Leo,50335.0
50440,89484.0,4057.0,,41Gam1Leo,Algieba,10.332873,19.841489,39.8883,2.01,K0III,Gam-1,41.0,217.5704950925793,Leo,50583.0
49441,87737.0,3975.0,,30Eta Leo,,10.122209,16.762664,389.1051,3.48,A0Ib,Eta,30.0,5345.643593969719,Leo,49583.0
49528,87901.0,3982.0,,32Alp Leo,Regulus,10.139532,11.967207,24.3132,1.36,B7V,Alp,32.0,147.09570767969765,Leo,49669.0
54718,97633.0,4359.0,,70The Leo,Chertan,11.237335,15.42957,50.6073,3.33,A2V,The,70.0,103.8484455008274,Leo,54879.0
57459,102647.0,4534.0,Gl 448,94Bet Leo,Denebola,11.817663,14.57206,10.9999,2.14,A3Vvar,Bet,94.0,14.682499678319866,Leo,57632.0
54712,97603.0,4357.0,Gl 419,68Del Leo,Zosma,11.235138,20.523717,17.9147,2.56,A4V,Del,68.0,26.448436268543603,Leo,54872.0
46819,82635.0,3800.0,,10    LMi,,9.570384,36.397558,56.7215,4.54,G8III,,10.0,42.81539943374175,LMi,46952.0
