,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
26176,26241.0,37043.0,1899.0,,44Iot Ori,Hatysa,5.590551,-5.909901,714.2857,2.27,-0.62,22.0,2.75,-6.519,O9III,-0.21,76.014147,706.411475,-73.54604,-5.44e-06,2.287e-05,-4.45e-06,1.4636027422961173,-0.103147236301135,1.10052705e-08,-3.005844e-09,Iot,44.0,Ori,1,26176,,35285.8025828527,,,
26182,26248.0,36819.0,1875.0,,121    Tau,,5.590869,24.039589,169.4915,14.98,-20.22,23.0,5.37,-0.776,B2.5IV,-0.092,16.547968,153.903632,69.045457,-9.22e-06,2.94e-05,-5.59e-06,1.463686141469532,0.4195699742433975,7.26250893e-08,-9.8029326e-08,,121.0,Tau,1,26182,,177.99180203953355,,,
26199,26264.0,38602.0,1991.0,,Iot Men,,5.593372,-78.820839,261.7801,12.55,18.18,13.0,6.04,-1.05,B8III,-0.018,5.392635,50.466007,-256.813129,-1.316e-05,2.676e-05,-8.57e-06,1.464341272386023,-1.3756831587826388,6.08441169e-08,8.8139127e-08,Iot,,Men,1,26199,,229.08676527677724,Iot,6.058,6.028
26203,26268.0,37077.0,1901.0,,45    Ori,,5.594301,-4.856067,110.2536,-1.44,8.05,-9.0,5.24,0.028,F0III,0.269,11.646256,109.238698,-9.333282,-1.7e-07,-8.84e-06,5.07e-06,1.464584618913476,-0.0847543505093662,-6.981317e-09,3.9027501e-08,,45.0,Ori,1,26203,,84.87895030072441,,,
26246,26311.0,37128.0,1903.0,,46Eps Ori,Alnilam,5.603559,-1.20192,606.0606,1.49,-1.06,26.0,1.69,-7.223,B0Ia,-0.184,62.775122,602.66691,-12.712683,-1.61e-06,2.683e-05,-3.67e-06,1.4670083872075836,-0.0209774579664687,7.2237238e-09,-5.139025e-09,Eps,46.0,Ori,1,26246,,67483.87308707573,Eps,1.717,1.667
26301,26366.0,37160.0,1907.0,,40Phi2Ori,,5.615108,9.290673,36.0231,96.84,-304.18,99.0,4.09,1.307,G8III-IV,0.951,3.576264,35.37109,5.815826,-5.91e-06,0.00010965,-3.607e-05,1.470031715068722,0.1621528273202862,4.694935683e-07,-1.474706253e-06,Phi-2,40.0,Ori,1,26301,,26.133645761890246,,,
26317,26382.0,37147.0,1905.0,,122    Tau,,5.617704,17.040324,48.5909,42.9,-34.86,41.0,5.53,2.097,F0V,0.237,4.641984,46.22556,14.239412,-5.81e-06,4.329e-05,4.44e-06,1.4707114818693534,0.2974097651970713,2.07985069e-07,-1.69006049e-07,,122.0,Tau,1,26317,,12.624087614670485,,,
26330,26394.0,39091.0,2022.0,GJ 9189,Pi  Men,,5.61916,-80.469122,18.315,311.97,1050.19,9.4,5.65,4.336,G3IV,0.6,0.301659,3.017555,-18.062272,-1.825e-05,9.584e-05,5.95e-06,1.4710925441408431,-1.4044511226830787,1.5124732392e-06,5.091464791e-06,Pi,,Men,1,26330,,1.6054618868009711,,,
26343,26408.0,36570.0,1857.0,,19    Cam,,5.620852,64.15469,111.2347,1.06,-66.45,-12.0,6.15,0.919,A0V,0.006,4.805436,48.253246,100.108275,2.1e-06,2.682e-05,-2.667e-05,1.4715357209664688,1.1197105641114624,5.139025e-09,-3.2215869e-07,,19.0,Cam,1,26343,,37.35940922587999,,,
26347,26412.0,37430.0,1926.0,,Nu 1Col,,5.621251,-27.871362,39.3701,20.78,-67.08,27.0,6.15,3.174,F0IV,0.322,3.44531,34.632407,-18.405163,-2.12e-06,1.873e-05,-2.423e-05,1.4716401905124743,-0.48644703361389,1.007442828e-07,-3.25213016e-07,Nu-1,,Col,1,26347,,4.681661397243642,,,
26386,26451.0,37202.0,1910.0,,123Zet Tau,Tianguan,5.627413,21.142549,136.4256,2.39,-18.04,20.0,2.97,-2.704,B4IIIp,-0.148,12.391949,126.637551,49.207351,7e-07,2.342e-05,-3.75e-06,1.4732531913866609,0.3690070937216137,1.1587047e-08,-8.7460387e-08,Zet,123.0,Tau,1,26386,,1050.9934271862176,Zet,3.032,2.902
26395,26460.0,37495.0,1935.0,Gl 209.1,Nu 2Col,,5.629061,-28.68969,40.7997,-37.99,42.58,39.4,5.28,2.227,F5V,0.486,3.470279,35.6225,-19.586704,1.13e-05,3.848e-05,-1.196e-05,1.473684816418724,-0.5007295577054313,-1.841807172e-07,2.06433665e-07,Nu-2,,Col,1,26395,,11.199535223848878,,,
26471,26536.0,37269.0,1914.0,,26    Aur,,5.643913,30.492412,173.6111,-21.15,-11.98,2.0,5.4,-0.798,A2V + GIII,0.45,13.926047,148.950481,88.094492,1.836e-05,5.19e-06,-7.65e-06,1.4775729957916823,0.5321929917940675,-1.025380934e-07,-5.8080678e-08,,26.0,Aur,1,26471,,181.63519311765117,,,
26484,26549.0,37468.0,1931.0,,48Sig Ori,,5.645769,-2.600069,328.9474,4.61,-0.4,29.0,3.77,-3.816,O9.5V...,-0.19,30.430713,327.196967,-14.922443,-4.58e-06,3.015e-05,-1.98e-06,1.4780588365617184,-0.0453797619684725,2.23499107e-08,-1.939254e-09,Sig,48.0,Ori,1,26484,,2926.846862378789,,,
26497,26563.0,37507.0,1937.0,GJ 9187,49    Ori,,5.648079,-7.212829,44.603,-15.0,-49.55,-1.3,4.77,1.523,A4V,0.139,4.071114,44.062353,-5.600145,2.98e-06,-2.95e-06,-1.046e-05,1.4786635226820444,-0.1258876119703075,-7.27220521e-08,-2.40225178e-07,,49.0,Ori,1,26497,,21.419039907221237,,,
26529,26594.0,37490.0,1934.0,,47Ome Ori,,5.653096,4.121467,423.7288,0.76,0.07,22.0,4.5,-3.635,B3IIIe,-0.098,38.330467,420.891434,30.453889,4.8e-07,2.248e-05,1.76e-06,1.4799771232401098,0.0719331659694787,3.684584e-09,3.39369e-10,Ome,47.0,Ori,1,26529,,2477.4220576332864,Ome,4.537,4.447
26569,26634.0,37795.0,1956.0,,Alp Col,Phact,5.660817,-34.074108,80.1282,-0.1,-24.05,35.0,2.65,-1.869,B7IV,-0.12,5.885917,66.110037,-44.89318,2.2e-06,2.432e-05,-2.779e-05,1.4819983267578802,-0.5947053712297875,-4.848137e-10,-1.1659769e-07,Alp,,Col,1,26569,,487.0796664925367,,,
26575,26640.0,37438.0,1928.0,,125    Tau,,5.662277,25.897091,131.0616,9.75,-23.79,15.0,5.18,-0.407,B3IV,-0.15,10.410662,117.439977,57.242014,-4.37e-06,2.087e-05,-6.9e-06,1.4823807306066712,0.4519895047997275,4.72693339e-08,-1.15337174e-07,,125.0,Tau,1,26575,,126.70682249985478,,,
26662,26727.0,37742.0,1948.0,,50Zet Ori,Alnitak,5.679313,-1.942572,225.7336,3.99,2.54,18.0,1.74,-5.028,O9.5Ib SB,-0.199,18.918488,224.809409,-7.651875,-2.8e-06,1.879e-05,2.15e-06,1.4868406872605762,-0.0339042812501637,1.93440659e-08,1.2314267e-08,Zet,50.0,Ori,1,26662,,8937.169608501978,,,
26711,26777.0,37711.0,1946.0,,126    Tau,,5.688255,16.534148,194.9318,5.42,-14.54,21.0,4.84,-1.609,B3IV...,-0.125,15.234526,186.249582,55.475059,-3.11e-06,2.484e-05,-7.06e-06,1.4891817159228882,0.2885753181957962,2.62769015e-08,-7.0491909e-08,,126.0,Tau,1,26711,,383.3540007590441,,,
26800,26865.0,38090.0,1968.0,,12    Lep,,5.703877,-22.373715,304.878,-0.16,8.88,28.0,5.88,-1.541,A2/A3V,0.08,21.834451,281.080466,-116.050746,2.67e-06,3.136e-05,1.24e-06,1.4932715812126085,-0.3904949962997774,-7.757019e-10,4.3051454e-08,,12.0,Lep,1,26800,,360.0808291734827,,,
26820,26885.0,37984.0,1963.0,,51    Ori,,5.707953,1.474629,90.009,-55.34,-14.85,88.0,4.9,0.129,K1III,1.144,6.872956,89.717105,2.316338,3.096e-05,8.803e-05,-4.16e-06,1.494338691410955,0.0257371290452287,-2.682958908e-07,-7.1994831e-08,,51.0,Ori,1,26820,,77.33925780489973,,,
26876,26942.0,37601.0,1941.0,,24    Cam,,5.71713,56.581522,59.1716,16.09,28.7,-29.0,6.05,2.189,K0III,0.951,2.411136,32.499294,49.38856,-6.32e-06,-2.28e-05,-2.022e-05,1.4967410495570603,0.9875338584883524,7.80065212e-08,1.39141526e-07,,24.0,Cam,1,26876,,11.598451211901663,,,
26980,27046.0,37638.0,1943.0,,23    Cam,,5.735682,61.476536,110.9878,-11.08,1.07,-4.0,6.17,0.944,G5III:,0.902,3.664528,52.871883,97.51625,5.78e-06,-2.87e-06,-3.32e-06,1.5015979359731368,1.0729679593906774,-5.37173558e-08,5.187506e-09,,23.0,Cam,1,26980,,36.50900524844984,,,
27006,27072.0,38393.0,1983.0,Gl 216A,13Gam Lep,,5.741057,-22.448382,8.927,-292.42,-368.45,-9.7,3.59,3.836,F7V,0.481,0.558889,8.231515,-3.40875,1.159e-05,-1.608e-05,-1.095e-05,1.503005147193559,-0.3917981800900525,-1.4176921647e-06,-1.786296006e-06,Gam,13.0,Lep,1,27006,Gl 216,2.5444856151466357,,,
27034,27100.0,39014.0,2015.0,,Del Dor,,5.746223,-65.735526,45.8716,-28.38,6.12,-3.0,4.34,1.032,A7V,0.217,1.251539,18.809293,-41.819199,6.3e-06,-4.4e-07,3.36e-06,1.504357638086428,-1.1473013613822762,-1.375901225e-07,2.9670597e-08,Del,,Dor,1,27034,,33.666657436862266,,,
27130,27196.0,38104.0,1971.0,,27Omi Aur,,5.765012,49.826255,126.7427,-11.18,-11.31,-6.0,5.46,-0.055,A0p...,0.03,5.02687,81.607971,96.843007,6.94e-06,9.3e-07,-9.17e-06,1.509276541731017,0.8696322082162637,-5.42021695e-08,-5.4832427e-08,Omi,27.0,Aur,1,27130,,91.62204901219992,,,
27138,27204.0,38666.0,1996.0,,Mu  Col,,5.766637,-32.306435,408.1633,3.01,-22.62,109.0,5.18,-2.874,B1IV/V,-0.274,21.063228,344.337566,-218.142285,-1.65e-06,7.053e-05,-9.741e-05,1.5097021406878033,-0.5638536585674725,1.45928918e-08,-1.09664854e-07,Mu,,Col,1,27138,,1229.1361730601686,,,
27183,27249.0,38091.0,1969.0,,26    Cam,,5.775106,56.115575,60.7903,20.18,-58.91,21.0,5.93,2.011,A4Vn,0.164,1.994282,33.833156,50.466066,-4.38e-06,2.669e-05,8.15e-06,1.5119191840597563,0.9794015449672838,9.78354007e-08,-2.85603739e-07,,26.0,Cam,1,27183,,13.66469680740465,,,
27198,27265.0,38478.0,1985.0,,129    Tau,,5.779305,15.822497,225.2252,5.36,-3.04,19.0,6.0,-0.763,B8IIIMNp...,-0.061,12.513036,216.330219,61.409507,-4.71e-06,1.991e-05,2.1e-06,1.5130184033776164,0.2761546690395687,2.59860133e-08,-1.4738335e-08,,129.0,Tau,1,27198,,175.87333541355733,,,
